Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Total,Date,Time,Payment,cogs,gross income,Rating,Month
A,Yangon,Normal,Female,Fashion accessories,87.67,2,184.107,2019-03-10,12:17,Credit card,175.34,8.767,7.7,03
B,Mandalay,Normal,Female,Food and beverages,88.36,5,463.89,2019-01-25,19:48,Cash,441.8,22.09,9.6,01
A,Yangon,Normal,Male,Health and beauty,24.89,9,235.2105,2019-03-15,15:36,Cash,224.01,11.2005,7.4,03
B,Mandalay,Normal,Male,Fashion accessories,94.13,5,494.1825,2019-02-25,19:39,Credit card,470.65,23.5325,4.8,02
B,Mandalay,Member,Male,Sports and travel,78.07,9,737.7615,2019-01-28,12:43,Cash,702.63,35.1315,4.5,01
B,Mandalay,Normal,Male,Sports and travel,83.78,8,703.752,2019-01-10,14:49,Cash,670.24,33.512,5.1,01
A,Yangon,Normal,Male,Health and beauty,96.58,2,202.818,2019-03-15,10:12,Credit card,193.16,9.658,5.1,03
C,Naypyitaw,Member,Female,Food and beverages,99.42,4,417.564,2019-02-06,10:42,Ewallet,397.68,19.884,7.5,02
C,Naypyitaw,Member,Female,Sports and travel,68.12,1,71.526,2019-01-07,12:28,Ewallet,68.12,3.406,6.8,01
A,Yangon,Member,Male,Sports and travel,62.62,5,328.755,2019-03-10,19:15,Ewallet,313.1,15.655,7.0,03
A,Yangon,Normal,Female,Electronic accessories,60.88,9,575.316,2019-01-15,17:17,Ewallet,547.92,27.396,4.7,01
C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,461.328,2019-03-23,13:24,Ewallet,439.36,21.968,7.6,03
B,Mandalay,Member,Male,Home and lifestyle,30.12,8,253.008,2019-03-03,13:01,Cash,240.96,12.048,7.7,03
B,Mandalay,Member,Female,Home and lifestyle,86.72,1,91.056,2019-01-17,18:45,Ewallet,86.72,4.336,7.9,01
C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,117.831,2019-02-02,10:11,Cash,112.22,5.611,6.3,02
B,Mandalay,Member,Female,Sports and travel,69.12,6,435.456,2019-02-08,13:03,Cash,414.72,20.736,5.6,02
C,Naypyitaw,Member,Female,Food and beverages,98.7,8,829.08,2019-03-04,20:39,Cash,789.6,39.48,7.6,03
C,Naypyitaw,Member,Male,Health and beauty,15.37,2,32.277,2019-03-16,19:47,Cash,30.74,1.537,7.2,03
B,Mandalay,Member,Female,Electronic accessories,93.96,4,394.632,2019-03-09,18:00,Cash,375.84,18.792,9.5,03
B,Mandalay,Member,Male,Health and beauty,56.69,9,535.7205,2019-02-27,17:24,Credit card,510.21,25.5105,8.4,02
B,Mandalay,Member,Female,Food and beverages,20.01,9,189.0945,2019-02-06,15:47,Ewallet,180.09,9.0045,4.1,02
B,Mandalay,Member,Male,Electronic accessories,18.93,6,119.259,2019-02-10,12:45,Credit card,113.58,5.679,8.1,02
C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,867.615,2019-03-19,17:08,Ewallet,826.3,41.315,7.9,03
C,Naypyitaw,Member,Male,Food and beverages,91.4,7,671.79,2019-02-03,10:19,Cash,639.8,31.99,9.5,02
A,Yangon,Member,Female,Food and beverages,44.59,5,234.0975,2019-02-10,15:10,Cash,222.95,11.1475,8.5,02
B,Mandalay,Member,Female,Fashion accessories,17.87,4,75.054,2019-03-22,14:42,Ewallet,71.48,3.574,6.5,03
C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,16.2015,2019-01-25,15:46,Credit card,15.43,0.7715,6.1,01
B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,33.936,2019-03-07,11:49,Ewallet,32.32,1.616,6.5,03
C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,722.232,2019-02-28,19:01,Cash,687.84,34.392,8.2,02
A,Yangon,Member,Male,Home and lifestyle,44.34,2,93.114,2019-03-27,11:26,Cash,88.68,4.434,5.8,03
A,Yangon,Normal,Male,Health and beauty,89.6,8,752.64,2019-02-07,11:28,Ewallet,716.8,35.84,6.6,02
A,Yangon,Member,Female,Home and lifestyle,72.35,10,759.675,2019-01-20,15:55,Cash,723.5,36.175,5.4,01
C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,192.843,2019-03-12,20:36,Cash,183.66,9.183,9.3,03
C,Naypyitaw,Member,Female,Sports and travel,24.74,3,77.931,2019-02-15,17:47,Credit card,74.22,3.711,10.0,02
C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,351.099,2019-02-24,10:55,Ewallet,334.38,16.719,7.0,02
B,Mandalay,Member,Female,Sports and travel,55.07,9,520.4115,2019-02-03,13:40,Ewallet,495.63,24.7815,10.0,02
A,Yangon,Member,Male,Sports and travel,15.81,10,166.005,2019-03-06,12:27,Credit card,158.1,7.905,8.6,03
B,Mandalay,Member,Male,Health and beauty,75.74,4,318.108,2019-02-14,14:35,Cash,302.96,15.148,7.6,02
A,Yangon,Member,Male,Health and beauty,15.87,10,166.635,2019-03-13,16:40,Cash,158.7,7.935,5.8,03
C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,70.287,2019-02-10,15:43,Ewallet,66.94,3.347,6.7,02
B,Mandalay,Member,Female,Fashion accessories,97.61,6,614.943,2019-01-07,15:01,Ewallet,585.66,29.283,9.9,01
A,Yangon,Normal,Male,Sports and travel,78.77,10,827.085,2019-01-24,10:04,Cash,787.7,39.385,6.4,01
A,Yangon,Member,Female,Health and beauty,18.33,1,19.2465,2019-02-02,18:50,Cash,18.33,0.9165,4.3,02
C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,939.54,2019-01-06,12:46,Credit card,894.8,44.74,9.6,01
C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,652.26,2019-02-11,16:19,Cash,621.2,31.06,5.9,02
B,Mandalay,Member,Female,Food and beverages,48.52,3,152.838,2019-03-05,18:17,Ewallet,145.56,7.278,4.0,03
C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,478.233,2019-03-09,18:21,Cash,455.46,22.773,8.7,03
A,Yangon,Normal,Male,Home and lifestyle,74.67,9,705.6315,2019-01-22,10:55,Ewallet,672.03,33.6015,9.4,01
C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,437.325,2019-01-13,17:04,Credit card,416.5,20.825,5.4,01
C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,463.428,2019-01-09,14:20,Credit card,441.36,22.068,8.6,01
A,Yangon,Member,Female,Fashion accessories,20.01,9,189.0945,2019-01-12,15:48,Credit card,180.09,9.0045,5.7,01
C,Naypyitaw,Member,Female,Food and beverages,78.31,10,822.255,2019-03-05,16:24,Ewallet,783.1,39.155,6.6,03
C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,106.995,2019-01-22,18:56,Cash,101.9,5.095,6.0,01
C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,624.897,2019-01-21,14:42,Credit card,595.14,29.757,5.5,01
B,Mandalay,Normal,Female,Food and beverages,96.68,3,304.542,2019-01-26,19:56,Ewallet,290.04,14.502,6.4,01
C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,161.7,2019-01-23,18:37,Ewallet,154.0,7.7,6.6,01
C,Naypyitaw,Member,Female,Food and beverages,80.36,4,337.512,2019-02-23,18:45,Credit card,321.44,16.072,8.3,02
C,Naypyitaw,Member,Male,Sports and travel,48.91,5,256.7775,2019-03-09,10:17,Cash,244.55,12.2275,6.6,03
C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,610.491,2019-03-05,14:31,Ewallet,581.42,29.071,4.0,03
C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,401.73,2019-03-25,10:23,Cash,382.6,19.13,9.9,03
A,Yangon,Member,Male,Food and beverages,49.38,7,362.943,2019-03-27,20:35,Credit card,345.66,17.283,7.3,03
A,Yangon,Normal,Male,Sports and travel,42.47,1,44.5935,2019-01-02,16:57,Cash,42.47,2.1235,5.7,01
B,Mandalay,Normal,Female,Health and beauty,76.99,6,485.037,2019-02-27,17:55,Cash,461.94,23.097,6.1,02
C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,198.996,2019-01-23,10:25,Cash,189.52,9.476,7.1,01
C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,471.03,2019-01-26,19:54,Ewallet,448.6,22.43,8.2,01
A,Yangon,Member,Female,Sports and travel,21.98,7,161.553,2019-01-10,16:42,Ewallet,153.86,7.693,5.1,01
B,Mandalay,Member,Male,Health and beauty,64.36,9,608.202,2019-03-12,12:09,Credit card,579.24,28.962,8.6,03
C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,94.2375,2019-02-06,20:05,Credit card,89.75,4.4875,6.6,02
A,Yangon,Normal,Male,Electronic accessories,97.16,1,102.018,2019-03-08,20:38,Ewallet,97.16,4.858,7.2,03
B,Mandalay,Normal,Male,Health and beauty,87.87,10,922.635,2019-03-29,10:25,Ewallet,878.7,43.935,5.1,03
C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,78.435,2019-02-09,13:11,Cash,74.7,3.735,4.1,02
A,Yangon,Normal,Male,Food and beverages,52.75,3,166.1625,2019-03-23,10:16,Ewallet,158.25,7.9125,9.3,03
B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,521.01,2019-03-05,18:14,Cash,496.2,24.81,7.4,03
C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,51.1455,2019-03-26,19:20,Cash,48.71,2.4355,4.1,03
C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,742.2975,2019-03-01,13:22,Cash,706.95,35.3475,7.2,03
C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,218.0115,2019-02-01,11:27,Cash,207.63,10.3815,4.9,02
A,Yangon,Normal,Male,Food and beverages,58.26,6,367.038,2019-03-28,16:44,Cash,349.56,17.478,9.9,03
B,Mandalay,Normal,Male,Health and beauty,30.35,7,223.0725,2019-03-19,18:19,Cash,212.45,10.6225,8.0,03
A,Yangon,Member,Male,Electronic accessories,88.67,10,931.035,2019-01-12,14:50,Ewallet,886.7,44.335,7.3,01
C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,172.494,2019-01-05,20:54,Credit card,164.28,8.214,7.9,01
A,Yangon,Normal,Male,Sports and travel,62.13,6,391.419,2019-03-22,20:19,Cash,372.78,18.639,7.4,03
C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,321.111,2019-03-24,10:43,Cash,305.82,15.291,4.2,03
C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,860.685,2019-03-03,14:30,Cash,819.7,40.985,9.2,03
B,Mandalay,Member,Female,Sports and travel,16.49,2,34.629,2019-02-05,11:32,Ewallet,32.98,1.649,4.6,02
C,Naypyitaw,Member,Female,Health and beauty,98.21,3,309.3615,2019-02-05,10:41,Credit card,294.63,14.7315,7.8,02
B,Mandalay,Normal,Female,Fashion accessories,72.84,7,535.374,2019-02-15,12:44,Cash,509.88,25.494,8.4,02
A,Yangon,Member,Male,Home and lifestyle,58.07,9,548.7615,2019-01-19,20:07,Ewallet,522.63,26.1315,4.3,01
C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,763.4655,2019-02-01,20:31,Credit card,727.11,36.3555,9.5,02
C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,85.113,2019-03-02,13:01,Credit card,81.06,4.053,7.1,03
B,Mandalay,Member,Male,Fashion accessories,21.94,5,115.185,2019-03-05,12:29,Ewallet,109.7,5.485,5.3,03
B,Mandalay,Member,Male,Fashion accessories,51.36,1,53.928,2019-01-16,15:26,Ewallet,51.36,2.568,5.2,01
A,Yangon,Normal,Female,Food and beverages,10.96,10,115.08,2019-02-02,20:48,Ewallet,109.6,5.48,6.0,02
B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,112.224,2019-01-20,20:38,Ewallet,106.88,5.344,4.1,01
A,Yangon,Normal,Female,Electronic accessories,99.56,8,836.304,2019-02-14,17:03,Credit card,796.48,39.824,5.2,02
C,Naypyitaw,Member,Male,Sports and travel,57.12,7,419.832,2019-01-12,12:02,Credit card,399.84,19.992,6.5,01
B,Mandalay,Member,Male,Sports and travel,99.96,9,944.622,2019-03-09,17:26,Credit card,899.64,44.982,4.2,03
C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,536.844,2019-03-13,19:52,Credit card,511.28,25.564,4.6,03
B,Mandalay,Member,Female,Fashion accessories,56.47,8,474.348,2019-03-09,14:57,Ewallet,451.76,22.588,7.3,03
A,Yangon,Normal,Female,Home and lifestyle,93.69,7,688.6215,2019-03-10,18:44,Credit card,655.83,32.7915,4.5,03
A,Yangon,Normal,Female,Sports and travel,32.25,5,169.3125,2019-01-27,13:26,Cash,161.25,8.0625,9.0,01
C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,299.8485,2019-01-08,16:17,Credit card,285.57,14.2785,5.9,01
C,Naypyitaw,Member,Female,Food and beverages,68.54,8,575.736,2019-01-08,15:57,Ewallet,548.32,27.416,8.5,01
B,Mandalay,Normal,Female,Sports and travel,90.28,9,853.146,2019-02-08,11:15,Ewallet,812.52,40.626,7.2,02
B,Mandalay,Normal,Female,Fashion accessories,39.62,7,291.207,2019-01-25,13:18,Cash,277.34,13.867,7.5,01
A,Yangon,Member,Female,Sports and travel,92.13,6,580.419,2019-03-06,20:34,Cash,552.78,27.639,8.3,03
B,Mandalay,Normal,Female,Sports and travel,34.84,4,146.328,2019-02-10,18:36,Cash,139.36,6.968,7.4,02
B,Mandalay,Member,Male,Electronic accessories,87.45,6,550.935,2019-02-17,14:40,Credit card,524.7,26.235,8.8,02
C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,512.19,2019-03-08,16:43,Ewallet,487.8,24.39,5.3,03
C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,284.193,2019-02-18,19:39,Cash,270.66,13.533,6.2,02
A,Yangon,Normal,Female,Electronic accessories,26.31,5,138.1275,2019-01-18,20:59,Credit card,131.55,6.5775,8.8,01
A,Yangon,Member,Female,Home and lifestyle,34.42,6,216.846,2019-02-18,15:39,Cash,206.52,10.326,9.8,02
B,Mandalay,Normal,Male,Sports and travel,51.91,10,545.055,2019-02-16,12:21,Cash,519.1,25.955,8.2,02
A,Yangon,Normal,Male,Sports and travel,72.5,8,609.0,2019-03-16,19:25,Ewallet,580.0,29.0,9.2,03
C,Naypyitaw,Member,Female,Sports and travel,89.8,10,942.9,2019-01-23,13:00,Credit card,898.0,44.9,5.4,01
C,Naypyitaw,Member,Male,Health and beauty,90.5,10,950.25,2019-01-25,13:48,Cash,905.0,45.25,8.1,01
C,Naypyitaw,Member,Female,Health and beauty,68.6,10,720.3,2019-02-05,19:57,Cash,686.0,34.3,9.1,02
C,Naypyitaw,Member,Female,Food and beverages,30.41,1,31.9305,2019-02-22,10:36,Credit card,30.41,1.5205,8.4,02
A,Yangon,Normal,Female,Home and lifestyle,77.95,6,491.085,2019-01-21,16:37,Ewallet,467.7,23.385,8.0,01
C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,291.438,2019-03-08,17:11,Credit card,277.56,13.878,9.5,03
A,Yangon,Member,Female,Fashion accessories,30.14,10,316.47,2019-02-10,12:28,Ewallet,301.4,15.07,9.2,02
C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,277.788,2019-03-19,12:46,Credit card,264.56,13.228,5.6,03
B,Mandalay,Member,Male,Home and lifestyle,71.86,8,603.624,2019-03-06,15:07,Credit card,574.88,28.744,6.2,03
A,Yangon,Normal,Male,Health and beauty,32.46,8,272.664,2019-03-27,13:48,Credit card,259.68,12.984,4.9,03
B,Mandalay,Member,Female,Fashion accessories,91.54,4,384.468,2019-03-23,19:20,Credit card,366.16,18.308,4.8,03
C,Naypyitaw,Member,Male,Sports and travel,34.56,7,254.016,2019-03-11,16:07,Credit card,241.92,12.096,7.3,03
A,Yangon,Normal,Male,Fashion accessories,83.24,9,786.618,2019-01-29,11:56,Credit card,749.16,37.458,7.4,01
C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,103.824,2019-02-07,18:23,Ewallet,98.88,4.944,9.9,02
C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,680.148,2019-01-28,13:05,Cash,647.76,32.388,9.3,01
A,Yangon,Member,Male,Food and beverages,92.29,5,484.5225,2019-02-20,15:55,Credit card,461.45,23.0725,9.0,02
B,Mandalay,Member,Male,Electronic accessories,72.17,1,75.7785,2019-01-04,19:40,Cash,72.17,3.6085,6.1,01
B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,263.97,2019-03-07,13:58,Ewallet,251.4,12.57,9.7,03
B,Mandalay,Member,Male,Health and beauty,97.22,9,918.729,2019-03-30,14:43,Ewallet,874.98,43.749,6.0,03
B,Mandalay,Normal,Male,Sports and travel,93.39,6,588.357,2019-03-27,19:18,Ewallet,560.34,28.017,10.0,03
C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,362.712,2019-01-19,19:39,Credit card,345.44,17.272,8.3,01
A,Yangon,Normal,Male,Sports and travel,63.69,1,66.8745,2019-02-25,16:21,Cash,63.69,3.1845,6.0,02
A,Yangon,Normal,Male,Food and beverages,45.79,7,336.5565,2019-03-13,19:44,Credit card,320.53,16.0265,7.0,03
C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,160.44,2019-01-30,19:42,Ewallet,152.8,7.64,6.5,01
B,Mandalay,Normal,Male,Food and beverages,39.9,10,418.95,2019-02-20,15:24,Credit card,399.0,19.95,5.9,02
B,Mandalay,Member,Male,Health and beauty,42.57,8,357.588,2019-02-25,14:12,Ewallet,340.56,17.028,5.6,02
C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,1003.59,2019-01-16,13:32,Cash,955.8,47.79,4.8,01
A,Yangon,Normal,Male,Fashion accessories,98.98,10,1039.29,2019-02-08,16:20,Credit card,989.8,49.49,8.7,02
A,Yangon,Normal,Male,Food and beverages,51.28,6,323.064,2019-01-19,16:31,Cash,307.68,15.384,6.5,01
A,Yangon,Member,Male,Sports and travel,69.52,7,510.972,2019-02-01,15:10,Credit card,486.64,24.332,8.5,02
A,Yangon,Normal,Male,Health and beauty,70.01,5,367.5525,2019-01-03,11:36,Ewallet,350.05,17.5025,5.5,01
B,Mandalay,Member,Male,Food and beverages,80.05,5,420.2625,2019-01-26,12:45,Credit card,400.25,20.0125,9.4,01
C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,175.14,2019-03-03,19:17,Cash,166.8,8.34,6.3,03
B,Mandalay,Member,Male,Electronic accessories,52.89,6,333.207,2019-01-19,17:34,Credit card,317.34,15.867,9.8,01
B,Mandalay,Normal,Male,Food and beverages,19.79,8,166.236,2019-01-18,12:04,Ewallet,158.32,7.916,8.7,01
A,Yangon,Member,Male,Home and lifestyle,33.84,9,319.788,2019-03-21,16:21,Ewallet,304.56,15.228,8.8,03
A,Yangon,Member,Male,Food and beverages,22.17,8,186.228,2019-03-03,17:01,Credit card,177.36,8.868,9.6,03
C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,165.4485,2019-02-13,10:50,Credit card,157.57,7.8785,4.8,02
A,Yangon,Normal,Male,Food and beverages,73.88,6,465.444,2019-03-23,19:16,Ewallet,443.28,22.164,4.4,03
C,Naypyitaw,Member,Male,Health and beauty,86.8,3,273.42,2019-01-28,16:47,Ewallet,260.4,13.02,9.9,01
C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,472.311,2019-02-09,10:00,Cash,449.82,22.491,5.7,02
C,Naypyitaw,Member,Male,Food and beverages,38.47,8,323.148,2019-01-23,11:51,Cash,307.76,15.388,7.7,01
A,Yangon,Member,Male,Sports and travel,15.5,10,162.75,2019-03-23,10:55,Ewallet,155.0,7.75,8.0,03
C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,288.204,2019-01-25,15:00,Ewallet,274.48,13.724,5.7,01
A,Yangon,Normal,Female,Sports and travel,12.34,7,90.699,2019-03-04,11:19,Credit card,86.38,4.319,6.7,03
B,Mandalay,Member,Male,Food and beverages,18.08,3,56.952,2019-03-05,19:46,Ewallet,54.24,2.712,8.0,03
B,Mandalay,Member,Female,Home and lifestyle,94.49,8,793.716,2019-03-03,19:00,Ewallet,755.92,37.796,7.5,03
B,Mandalay,Member,Male,Home and lifestyle,46.47,4,195.174,2019-02-08,10:53,Cash,185.88,9.294,7.0,02
A,Yangon,Normal,Male,Home and lifestyle,74.07,1,77.7735,2019-02-10,12:50,Ewallet,74.07,3.7035,9.9,02
C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,293.202,2019-01-28,20:50,Credit card,279.24,13.962,5.9,01
B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,242.676,2019-02-11,10:39,Credit card,231.12,11.556,7.2,02
B,Mandalay,Normal,Female,Fashion accessories,73.52,2,154.392,2019-01-15,13:41,Ewallet,147.04,7.352,4.6,01
C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,829.71,2019-03-16,19:08,Cash,790.2,39.51,9.2,03
B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,107.31,2019-01-26,20:23,Ewallet,102.2,5.11,5.7,01
A,Yangon,Normal,Male,Electronic accessories,32.71,5,171.7275,2019-03-19,11:30,Credit card,163.55,8.1775,9.9,03
C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,78.0045,2019-01-13,19:30,Cash,74.29,3.7145,5.0,01
C,Naypyitaw,Member,Male,Health and beauty,43.7,2,91.77,2019-03-26,18:03,Cash,87.4,4.37,4.9,03
A,Yangon,Normal,Female,Home and lifestyle,25.29,1,26.5545,2019-03-23,10:13,Ewallet,25.29,1.2645,6.1,03
C,Naypyitaw,Normal,Male,Health and beauty,41.5,4,174.3,2019-03-12,19:58,Credit card,166.0,8.3,8.2,03
C,Naypyitaw,Member,Female,Food and beverages,71.39,5,374.7975,2019-02-17,19:57,Credit card,356.95,17.8475,5.5,02
C,Naypyitaw,Member,Female,Sports and travel,19.15,6,120.645,2019-01-29,10:01,Credit card,114.9,5.745,6.8,01
B,Mandalay,Member,Female,Electronic accessories,57.49,4,241.458,2019-03-15,11:57,Cash,229.96,11.498,6.6,03
C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,451.3635,2019-01-14,10:02,Cash,429.87,21.4935,9.8,01
B,Mandalay,Member,Male,Health and beauty,25.9,10,271.95,2019-02-06,14:51,Ewallet,259.0,12.95,8.7,02
B,Mandalay,Member,Male,Home and lifestyle,17.77,5,93.2925,2019-02-15,12:42,Credit card,88.85,4.4425,5.4,02
A,Yangon,Normal,Female,Health and beauty,23.03,9,217.6335,2019-01-03,12:02,Ewallet,207.27,10.3635,7.9,01
C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,629.8425,2019-01-04,18:19,Credit card,599.85,29.9925,9.7,01
C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,299.565,2019-03-18,17:38,Ewallet,285.3,14.265,7.8,03
B,Mandalay,Normal,Female,Fashion accessories,30.37,3,95.6655,2019-03-28,13:41,Ewallet,91.11,4.5555,5.1,03
B,Mandalay,Normal,Female,Electronic accessories,99.73,9,942.4485,2019-03-02,19:42,Credit card,897.57,44.8785,6.5,03
A,Yangon,Normal,Male,Electronic accessories,26.23,9,247.8735,2019-01-25,20:24,Ewallet,236.07,11.8035,5.9,01
C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,881.307,2019-01-16,18:08,Cash,839.34,41.967,8.8,01
B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,484.89,2019-03-20,19:17,Ewallet,461.8,23.09,4.9,03
B,Mandalay,Normal,Male,Sports and travel,46.42,3,146.223,2019-01-04,13:24,Credit card,139.26,6.963,4.4,01
B,Mandalay,Member,Female,Sports and travel,29.61,7,217.6335,2019-03-11,15:53,Cash,207.27,10.3635,6.5,03
A,Yangon,Normal,Male,Home and lifestyle,18.28,1,19.194,2019-03-22,15:05,Credit card,18.28,0.914,8.3,03
B,Mandalay,Normal,Female,Sports and travel,24.77,5,130.0425,2019-03-24,18:27,Cash,123.85,6.1925,8.5,03
A,Yangon,Member,Female,Electronic accessories,94.64,3,298.116,2019-02-21,16:55,Cash,283.92,14.196,5.5,02
B,Mandalay,Normal,Male,Fashion accessories,94.87,8,796.908,2019-02-12,12:58,Ewallet,758.96,37.948,8.7,02
